,date,ML,Low,High
Haryana,2020-04-07,1.74,0.93,2.5500000000000003
Haryana,2020-04-08,1.4000000000000001,0.64,2.18
Haryana,2020-04-09,1.22,0.48,1.97
Haryana,2020-04-10,0.96,0.24,1.7
Haryana,2020-04-11,0.74,0.07,1.44
Haryana,2020-04-12,0.5,0.0,1.21
Haryana,2020-04-13,0.38,0.0,1.17
Haryana,2020-04-14,0.27,0.0,1.17
Haryana,2020-04-15,0.4,0.0,1.33
Haryana,2020-04-16,0.47000000000000003,0.0,1.44
Haryana,2020-04-17,0.8300000000000001,0.0,1.77
Haryana,2020-04-18,1.17,0.12,2.15
Himachal Pradesh,2020-04-01,0.0,0.59,12.0
Himachal Pradesh,2020-04-02,1.0,0.0,6.3500000000000005
Himachal Pradesh,2020-04-03,2.62,0.0,5.8
Himachal Pradesh,2020-04-04,2.62,0.01,4.95
Himachal Pradesh,2020-04-05,2.43,0.14,4.39
Himachal Pradesh,2020-04-06,1.96,0.1,3.65
Himachal Pradesh,2020-04-07,1.73,0.11,3.2600000000000002
Himachal Pradesh,2020-04-08,1.4000000000000001,0.01,2.75
Himachal Pradesh,2020-04-09,1.19,0.0,2.5100000000000002
Himachal Pradesh,2020-04-10,1.0,0.0,2.35
Himachal Pradesh,2020-04-11,0.62,0.0,2.1
Himachal Pradesh,2020-04-12,0.35000000000000003,0.0,2.02
Himachal Pradesh,2020-04-13,0.22,0.0,2.09
Himachal Pradesh,2020-04-14,0.04,0.0,2.18
Himachal Pradesh,2020-04-15,0.2,0.0,2.48
Himachal Pradesh,2020-04-16,0.53,0.0,2.84
Himachal Pradesh,2020-04-17,1.0,0.0,3.21
Himachal Pradesh,2020-04-18,1.47,0.0,3.49
Jammu and Kashmir,2020-03-23,0.0,0.59,12.0
Jammu and Kashmir,2020-03-24,3.77,0.0,7.44
Jammu and Kashmir,2020-03-25,3.77,0.52,6.4
Jammu and Kashmir,2020-03-26,2.81,0.47000000000000003,4.88
Jammu and Kashmir,2020-03-27,2.62,0.72,4.3500000000000005
Jammu and Kashmir,2020-03-28,2.25,0.68,3.72
Jammu and Kashmir,2020-03-29,1.92,0.56,3.21
Jammu and Kashmir,2020-03-30,1.73,0.52,2.91
Jammu and Kashmir,2020-03-31,1.53,0.39,2.6
Jammu and Kashmir,2020-04-01,1.32,0.27,2.35
Jammu and Kashmir,2020-04-02,1.3,0.26,2.27
Jammu and Kashmir,2020-04-03,1.1400000000000001,0.18,2.1
Jammu and Kashmir,2020-04-04,1.1400000000000001,0.17,2.06
Jammu and Kashmir,2020-04-05,1.26,0.3,2.2
Jammu and Kashmir,2020-04-06,1.42,0.48,2.33
Jammu and Kashmir,2020-04-07,1.53,0.65,2.4
Jammu and Kashmir,2020-04-08,1.6,0.76,2.38
Jammu and Kashmir,2020-04-09,1.52,0.75,2.27
Jammu and Kashmir,2020-04-10,1.43,0.6900000000000001,2.13
Jammu and Kashmir,2020-04-11,1.32,0.64,2.0300000000000002
Jammu and Kashmir,2020-04-12,1.18,0.5,1.85
Jammu and Kashmir,2020-04-13,1.09,0.43,1.77
Jammu and Kashmir,2020-04-14,1.0,0.34,1.67
Jammu and Kashmir,2020-04-15,0.91,0.26,1.59
Jammu and Kashmir,2020-04-16,0.85,0.19,1.52
Jammu and Kashmir,2020-04-17,0.87,0.19,1.54
Jammu and Kashmir,2020-04-18,0.84,0.16,1.52
Jharkhand,2020-04-06,0.0,0.59,12.0
Jharkhand,2020-04-07,3.77,0.0,7.44
Jharkhand,2020-04-08,2.15,0.0,4.99
Jharkhand,2020-04-09,2.35,0.02,4.55
Jharkhand,2020-04-10,1.8900000000000001,0.01,3.7800000000000002
Jharkhand,2020-04-11,1.67,0.01,3.35
Jharkhand,2020-04-12,1.53,0.0,3.0500000000000003
Jharkhand,2020-04-13,1.44,0.01,2.86
Jharkhand,2020-04-14,1.21,0.01,2.61
Jharkhand,2020-04-15,1.0,0.0,2.42
Jharkhand,2020-04-16,0.79,0.0,2.2800000000000002
Jharkhand,2020-04-17,0.78,0.0,2.31
Jharkhand,2020-04-18,0.53,0.0,2.2
Karnataka,2020-03-14,0.0,0.59,12.0
Karnataka,2020-03-15,3.77,0.0,7.44
Karnataka,2020-03-16,2.15,0.0,4.99
Karnataka,2020-03-17,1.73,0.0,4.14
Karnataka,2020-03-18,1.53,0.0,3.66
Karnataka,2020-03-19,1.42,0.0,3.34
Karnataka,2020-03-20,1.67,0.01,3.35
Karnataka,2020-03-21,1.78,0.08,3.31
Karnataka,2020-03-22,1.6500000000000001,0.09,3.09
Karnataka,2020-03-23,1.73,0.23,3.15
Karnataka,2020-03-24,1.76,0.32,3.08
Karnataka,2020-03-25,1.75,0.44,3.02
Karnataka,2020-03-26,1.6300000000000001,0.42,2.81
Karnataka,2020-03-27,1.55,0.42,2.66
Karnataka,2020-03-28,1.4000000000000001,0.34,2.45
Karnataka,2020-03-29,1.3,0.26,2.27
Karnataka,2020-03-30,1.21,0.23,2.17
Karnataka,2020-03-31,1.1300000000000001,0.18,2.06
Karnataka,2020-04-01,1.07,0.14,1.97
Karnataka,2020-04-02,1.1300000000000001,0.2,2.05
Karnataka,2020-04-03,1.06,0.14,1.94
Karnataka,2020-04-04,1.06,0.14,1.93
Karnataka,2020-04-05,1.06,0.14,1.92
Karnataka,2020-04-06,1.12,0.22,2.02
Karnataka,2020-04-07,1.11,0.23,2.0100000000000002
Karnataka,2020-04-08,1.11,0.23,1.99
Karnataka,2020-04-09,1.05,0.17,1.8900000000000001
Karnataka,2020-04-10,1.11,0.24,1.97
Karnataka,2020-04-11,1.1,0.24,1.95
Karnataka,2020-04-12,1.2,0.32,2.02
Karnataka,2020-04-13,1.24,0.4,2.07
Karnataka,2020-04-14,1.3900000000000001,0.5700000000000001,2.17
Karnataka,2020-04-15,1.51,0.75,2.2600000000000002
Karnataka,2020-04-16,1.58,0.86,2.2600000000000002
Karnataka,2020-04-17,1.56,0.91,2.22
Karnataka,2020-04-18,1.54,0.92,2.14
Kerala,2020-03-14,0.0,0.59,12.0
Kerala,2020-03-15,0.0,0.0,3.89
Kerala,2020-03-16,0.11,0.0,3.36
Kerala,2020-03-17,0.38,0.0,3.0500000000000003
Kerala,2020-03-18,1.42,0.0,3.34
Kerala,2020-03-19,1.83,0.11,3.44
Kerala,2020-03-20,2.1,0.52,3.5700000000000003
Kerala,2020-03-21,2.22,0.91,3.46
Kerala,2020-03-22,2.18,1.06,3.27
Kerala,2020-03-23,2.0300000000000002,1.05,2.99
Kerala,2020-03-24,1.87,0.99,2.73
Kerala,2020-03-25,1.6300000000000001,0.8300000000000001,2.44
Kerala,2020-03-26,1.51,0.75,2.2600000000000002
Kerala,2020-03-27,1.3800000000000001,0.67,2.11
Kerala,2020-03-28,1.23,0.54,1.94
Kerala,2020-03-29,1.18,0.49,1.85
Kerala,2020-03-30,1.09,0.4,1.74
Kerala,2020-03-31,1.03,0.37,1.71
Kerala,2020-04-01,1.0,0.33,1.6600000000000001
Kerala,2020-04-02,0.91,0.25,1.58
Kerala,2020-04-03,0.8200000000000001,0.15,1.47
Kerala,2020-04-04,0.74,0.09,1.4000000000000001
Kerala,2020-04-05,0.65,0.02,1.29
Kerala,2020-04-06,0.62,0.0,1.27
Kerala,2020-04-07,0.62,0.01,1.32
Kerala,2020-04-08,0.63,0.0,1.35
Kerala,2020-04-09,0.65,0.0,1.4000000000000001
Kerala,2020-04-10,0.67,0.0,1.45
Kerala,2020-04-11,0.7000000000000001,0.0,1.51
Kerala,2020-04-12,0.61,0.0,1.47
Kerala,2020-04-13,0.65,0.0,1.54
Kerala,2020-04-14,0.53,0.0,1.5
Kerala,2020-04-15,0.47000000000000003,0.0,1.52
Kerala,2020-04-16,0.49,0.0,1.61
Kerala,2020-04-17,0.54,0.0,1.72
Kerala,2020-04-18,0.48,0.0,1.75
Madhya Pradesh,2020-03-18,0.0,0.59,12.0
Madhya Pradesh,2020-03-19,1.0,0.0,6.3500000000000005
Madhya Pradesh,2020-03-20,1.0,0.0,5.08
Madhya Pradesh,2020-03-21,1.0,0.0,4.44
Madhya Pradesh,2020-03-22,1.8900000000000001,0.0,4.49
Madhya Pradesh,2020-03-23,1.62,0.0,3.87
Madhya Pradesh,2020-03-24,1.8900000000000001,0.01,3.7800000000000002
Madhya Pradesh,2020-03-25,2.24,0.25,3.94
Madhya Pradesh,2020-03-26,2.15,0.42,3.75
Madhya Pradesh,2020-03-27,1.8900000000000001,0.35000000000000003,3.3200000000000003
Madhya Pradesh,2020-03-28,1.86,0.42,3.15
Madhya Pradesh,2020-03-29,1.81,0.54,3.0500000000000003
Madhya Pradesh,2020-03-30,1.85,0.66,2.94
Madhya Pradesh,2020-03-31,1.98,0.93,2.96
Madhya Pradesh,2020-04-01,1.95,1.04,2.85
Madhya Pradesh,2020-04-02,1.8900000000000001,1.09,2.71
Madhya Pradesh,2020-04-03,1.87,1.1400000000000001,2.59
Madhya Pradesh,2020-04-04,1.77,1.12,2.44
Madhya Pradesh,2020-04-05,1.67,1.06,2.27
Madhya Pradesh,2020-04-06,1.6500000000000001,1.1,2.22
Madhya Pradesh,2020-04-07,1.54,1.01,2.05
Madhya Pradesh,2020-04-08,1.49,1.0,1.98
Madhya Pradesh,2020-04-09,1.43,0.96,1.8900000000000001
Madhya Pradesh,2020-04-10,1.28,0.84,1.74
Madhya Pradesh,2020-04-11,1.3,0.88,1.75
Madhya Pradesh,2020-04-12,1.3900000000000001,0.97,1.79
Madhya Pradesh,2020-04-13,1.55,1.17,1.94
Madhya Pradesh,2020-04-14,1.71,1.36,2.07
Madhya Pradesh,2020-04-15,1.71,1.4000000000000001,2.05
Madhya Pradesh,2020-04-16,1.6600000000000001,1.37,1.97
Madhya Pradesh,2020-04-17,1.59,1.32,1.87
Madhya Pradesh,2020-04-18,1.44,1.17,1.69
Maharashtra,2020-03-14,0.0,0.59,12.0
Maharashtra,2020-03-15,0.2,0.0,2.48
Maharashtra,2020-03-16,0.35000000000000003,0.0,2.02
Maharashtra,2020-03-17,0.21,0.0,1.71
Maharashtra,2020-03-18,0.22,0.0,1.58
Maharashtra,2020-03-19,0.33,0.0,1.56
Maharashtra,2020-03-20,0.62,0.0,1.67
Maharashtra,2020-03-21,0.92,0.02,1.84
Maharashtra,2020-03-22,1.23,0.19,2.21
Maharashtra,2020-03-23,1.36,0.35000000000000003,2.36
Maharashtra,2020-03-24,1.52,0.52,2.44
Maharashtra,2020-03-25,1.62,0.7000000000000001,2.49
Maharashtra,2020-03-26,1.58,0.74,2.41
Maharashtra,2020-03-27,1.55,0.76,2.32
Maharashtra,2020-03-28,1.58,0.85,2.3000000000000003
Maharashtra,2020-03-29,1.6,0.93,2.2800000000000002
Maharashtra,2020-03-30,1.72,1.1,2.33
Maharashtra,2020-03-31,1.73,1.17,2.29
Maharashtra,2020-04-01,1.82,1.31,2.32
Maharashtra,2020-04-02,1.87,1.43,2.34
Maharashtra,2020-04-03,1.85,1.45,2.27
Maharashtra,2020-04-04,1.78,1.41,2.15
Maharashtra,2020-04-05,1.7,1.37,2.05
Maharashtra,2020-04-06,1.62,1.32,1.95
Maharashtra,2020-04-07,1.59,1.31,1.9000000000000001
Maharashtra,2020-04-08,1.52,1.25,1.8
Maharashtra,2020-04-09,1.47,1.22,1.74
Maharashtra,2020-04-10,1.3800000000000001,1.1300000000000001,1.62
Maharashtra,2020-04-11,1.4000000000000001,1.17,1.6400000000000001
Maharashtra,2020-04-12,1.41,1.19,1.6400000000000001
Maharashtra,2020-04-13,1.41,1.2,1.62
Maharashtra,2020-04-14,1.37,1.17,1.58
Maharashtra,2020-04-15,1.32,1.1300000000000001,1.52
Maharashtra,2020-04-16,1.23,1.05,1.43
Maharashtra,2020-04-17,1.19,1.01,1.3800000000000001
Maharashtra,2020-04-18,1.06,0.88,1.25
Meghalaya,2020-04-12,0.0,0.59,12.0
Meghalaya,2020-04-13,1.0,0.0,6.3500000000000005
Meghalaya,2020-04-14,2.62,0.0,5.8
Meghalaya,2020-04-15,1.8900000000000001,0.0,4.49
Meghalaya,2020-04-16,1.62,0.0,3.87
Meghalaya,2020-04-17,1.47,0.0,3.49
Meghalaya,2020-04-18,1.3800000000000001,0.0,3.22
Punjab,2020-03-18,0.0,0.59,12.0
Punjab,2020-03-19,3.77,0.0,7.44
Punjab,2020-03-20,3.04,0.05,5.59
Punjab,2020-03-21,3.04,0.55,5.22
Punjab,2020-03-22,2.24,0.25,3.94
Punjab,2020-03-23,1.8900000000000001,0.2,3.38
Punjab,2020-03-24,1.53,0.09,2.86
Punjab,2020-03-25,1.45,0.11,2.71
Punjab,2020-03-26,1.1400000000000001,0.0,2.3000000000000003
Punjab,2020-03-27,0.86,0.0,2.07
Punjab,2020-03-28,0.55,0.0,1.8900000000000001
Punjab,2020-03-29,0.49,0.0,1.93
Punjab,2020-03-30,0.41000000000000003,0.0,1.99
Punjab,2020-03-31,0.56,0.0,2.18
Punjab,2020-04-01,0.76,0.0,2.38
Punjab,2020-04-02,1.24,0.0,2.75
Punjab,2020-04-03,1.85,0.23,3.34
Punjab,2020-04-04,2.0100000000000002,0.48,3.41
Punjab,2020-04-05,1.92,0.56,3.21
Punjab,2020-04-06,1.94,0.72,3.11
Punjab,2020-04-07,1.98,0.89,3.0100000000000002
Punjab,2020-04-08,1.79,0.8,2.72
Punjab,2020-04-09,1.6600000000000001,0.76,2.5300000000000002
Punjab,2020-04-10,1.3900000000000001,0.54,2.22
Punjab,2020-04-11,1.18,0.37,2.0
Punjab,2020-04-12,1.04,0.25,1.84
Punjab,2020-04-13,0.87,0.1,1.62
Punjab,2020-04-14,0.72,0.02,1.45
Punjab,2020-04-15,0.7000000000000001,0.01,1.45
Punjab,2020-04-16,0.73,0.0,1.49
Punjab,2020-04-17,0.9400000000000001,0.1,1.78
Punjab,2020-04-18,1.17,0.28,2.05
Rajasthan,2020-03-16,0.0,0.59,12.0
Rajasthan,2020-03-17,1.0,0.0,6.3500000000000005
Rajasthan,2020-03-18,2.62,0.0,5.8
Rajasthan,2020-03-19,3.24,0.38,5.68
Rajasthan,2020-03-20,2.62,0.41000000000000003,4.6000000000000005
Rajasthan,2020-03-21,2.07,0.27,3.73
Rajasthan,2020-03-22,1.8,0.22,3.2600000000000002
Rajasthan,2020-03-23,1.49,0.1,2.7800000000000002
Rajasthan,2020-03-24,1.44,0.09,2.65
Rajasthan,2020-03-25,1.27,0.05,2.43
Rajasthan,2020-03-26,1.1300000000000001,0.0,2.23
Rajasthan,2020-03-27,1.12,0.0,2.21
Rajasthan,2020-03-28,1.35,0.13,2.48
Rajasthan,2020-03-29,1.62,0.41000000000000003,2.77
Rajasthan,2020-03-30,1.85,0.75,2.93
Rajasthan,2020-03-31,1.95,0.97,2.91
Rajasthan,2020-04-01,1.92,1.04,2.77
Rajasthan,2020-04-02,1.94,1.17,2.71
Rajasthan,2020-04-03,1.8800000000000001,1.2,2.58
Rajasthan,2020-04-04,1.8,1.19,2.44
Rajasthan,2020-04-05,1.67,1.1,2.25
Rajasthan,2020-04-06,1.61,1.07,2.13
Rajasthan,2020-04-07,1.56,1.07,2.06
Rajasthan,2020-04-08,1.6300000000000001,1.18,2.1
Rajasthan,2020-04-09,1.62,1.21,2.06
Rajasthan,2020-04-10,1.58,1.19,1.98
Rajasthan,2020-04-11,1.56,1.2,1.94
Rajasthan,2020-04-12,1.47,1.11,1.8
Rajasthan,2020-04-13,1.37,1.04,1.7
Rajasthan,2020-04-14,1.28,0.96,1.6
Rajasthan,2020-04-15,1.17,0.87,1.5
Rajasthan,2020-04-16,1.1,0.8,1.42
Rajasthan,2020-04-17,1.08,0.77,1.3800000000000001
Rajasthan,2020-04-18,1.0,0.6900000000000001,1.3
Tamil Nadu,2020-03-18,0.0,0.59,12.0
Tamil Nadu,2020-03-19,1.0,0.0,6.3500000000000005
Tamil Nadu,2020-03-20,1.0,0.0,5.08
Tamil Nadu,2020-03-21,2.15,0.0,4.99
Tamil Nadu,2020-03-22,2.35,0.02,4.55
Tamil Nadu,2020-03-23,2.27,0.13,4.16
Tamil Nadu,2020-03-24,2.15,0.28,3.85
Tamil Nadu,2020-03-25,2.0300000000000002,0.39,3.56
Tamil Nadu,2020-03-26,1.82,0.34,3.2
Tamil Nadu,2020-03-27,1.8,0.43,3.08
Tamil Nadu,2020-03-28,1.96,0.74,3.16
Tamil Nadu,2020-03-29,2.49,1.47,3.49
Tamil Nadu,2020-03-30,2.73,1.92,3.5500000000000003
Tamil Nadu,2020-03-31,2.71,2.04,3.35
Tamil Nadu,2020-04-01,2.47,1.92,3.0100000000000002
Tamil Nadu,2020-04-02,2.23,1.77,2.71
Tamil Nadu,2020-04-03,1.96,1.55,2.38
Tamil Nadu,2020-04-04,1.71,1.33,2.09
Tamil Nadu,2020-04-05,1.45,1.09,1.81
Tamil Nadu,2020-04-06,1.27,0.93,1.6300000000000001
Tamil Nadu,2020-04-07,1.1,0.76,1.45
Tamil Nadu,2020-04-08,0.99,0.66,1.35
Tamil Nadu,2020-04-09,0.93,0.58,1.27
Tamil Nadu,2020-04-10,0.9,0.54,1.24
Tamil Nadu,2020-04-11,0.93,0.58,1.29
Tamil Nadu,2020-04-12,0.98,0.62,1.33
Tamil Nadu,2020-04-13,0.96,0.61,1.33
Tamil Nadu,2020-04-14,0.93,0.58,1.3
Tamil Nadu,2020-04-15,0.89,0.53,1.26
Tamil Nadu,2020-04-16,0.81,0.44,1.19
Tamil Nadu,2020-04-17,0.81,0.43,1.2
Tamil Nadu,2020-04-18,0.74,0.34,1.1300000000000001
Telangana,2020-03-14,0.0,0.59,12.0
Telangana,2020-03-15,1.0,0.0,6.3500000000000005
Telangana,2020-03-16,2.62,0.0,5.8
Telangana,2020-03-17,1.8900000000000001,0.0,4.49
Telangana,2020-03-18,2.15,0.0,4.21
Telangana,2020-03-19,2.15,0.14,3.99
Telangana,2020-03-20,1.83,0.11,3.44
Telangana,2020-03-21,1.85,0.23,3.34
Telangana,2020-03-22,1.7,0.21,3.0700000000000003
Telangana,2020-03-23,1.45,0.11,2.71
Telangana,2020-03-24,1.41,0.14,2.64
Telangana,2020-03-25,1.37,0.15,2.56
Telangana,2020-03-26,1.23,0.07,2.33
Telangana,2020-03-27,1.32,0.15,2.43
Telangana,2020-03-28,1.3,0.18,2.4
Telangana,2020-03-29,1.28,0.19,2.35
Telangana,2020-03-30,1.58,0.48,2.63
Telangana,2020-03-31,1.95,0.97,2.91
Telangana,2020-04-01,2.2,1.35,3.02
Telangana,2020-04-02,2.29,1.58,3.0
Telangana,2020-04-03,2.13,1.49,2.72
Telangana,2020-04-04,1.92,1.37,2.47
Telangana,2020-04-05,1.75,1.24,2.24
Telangana,2020-04-06,1.5,1.03,1.97
Telangana,2020-04-07,1.26,0.81,1.72
Telangana,2020-04-08,1.05,0.61,1.52
Telangana,2020-04-09,0.84,0.37,1.29
Telangana,2020-04-10,0.66,0.19,1.1400000000000001
Telangana,2020-04-11,0.62,0.15,1.1300000000000001
Telangana,2020-04-12,0.62,0.12,1.1300000000000001
Telangana,2020-04-13,0.8,0.27,1.35
Telangana,2020-04-14,1.08,0.55,1.6300000000000001
Telangana,2020-04-15,1.24,0.72,1.77
